location_name,positive_top10,negative_top10,avg_rating
1. Gyeongbokgung Palace,"architecture(3413), accessibility(2107), views(1121), price(830), changing_of_the_guard_ceremony(818), history(743), size(724), changing_of_the_guard(699), gyeongbokgung_palace(694), photo_opportunities(617)","crowds(527), weather(497), crowding(472), size(126), architecture(125), walking(106), buildings(93), accessibility(92), temperature(90), walking_distance(68)",4.4
10. Everland,"rides(539), zoo(244), attractions(231), overall_experience(218), accessibility(217), safari(190), theme_park(155), amusement_park(154), crowds(139), food(132)","crowds(330), crowding(162), weather(118), accessibility(108), rides(92), queues(88), queue_time(55), price(48), food_price(36), ride_availability(34)",4.4
11. Haeundae Beach,"beach(1454), views(686), accessibility(584), restaurants(444), cleanliness(399), atmosphere(295), beach_cleanliness(221), crowds(219), hotels(218), haeundae_beach(217)","crowding(429), crowds(262), weather(242), water_temperature(81), swimming(80), beach(68), wind(43), accessibility(38), crowdedness(38), cleanliness(37)",4.2
12. Busan Gamcheon Culture Village,"views(1022), accessibility(578), shopping(288), photo_spots(283), cafes(280), photo_opportunities(251), village(236), colorful_houses(234), map(189), overall_experience(169)","crowds(229), accessibility(198), weather(117), stairs(56), walking(41), walking_difficulty(41), crowding(38), navigation(32), shopping(30), overall_experience(25)",4.3
13. Starfield COEX Mall,"shopping(237), accessibility(211), aquarium(195), restaurants(186), library(109), size(108), mall_size(77), cinema(76), food(75), food_court(75)","shopping(58), navigation(53), crowding(36), accessibility(34), crowds(33), price(31), size(31), layout(26), renovation(20), shopping_experience(19)",4.0
14. Seongsan Ilchulbong,"views(1686), accessibility(180), sunrise(134), weather(123), overall_experience(106), climb(104), sunrise_view(94), seongsan_ilchulbong(81), hike(74), price(66)","crowding(207), weather(206), crowds(162), stairs(137), wind(77), sunrise(56), hiking_difficulty(49), accessibility(48), climbing_difficulty(48), views(47)",4.6
15. Lotte World Tower & Mall,"views(306), shopping(128), accessibility(97), restaurants(83), glass_floor(70), shopping_mall(70), elevator(59), aquarium(55), mall(53), food(50)","price(77), crowds(71), views(27), parking(13), weather(11), accessibility(8), admission_fee(8), parking_fee(7), prices(7), ticket_price(7)",4.4
16. Dongdaemun Design Plaza (DDP),"architecture(913), accessibility(414), design(309), shopping(305), building_design(191), exhibitions(179), lighting(174), views(154), atmosphere(97), restaurants(84)","interior(35), price(34), shopping(33), accessibility(21), crowds(21), activities(20), exhibitions(19), navigation(16), crowding(14), exhibits(13)",4.2
17. Starfield Library,"accessibility(115), library(96), atmosphere(69), photo_opportunities(40), book_collection(33), seating(32), design(28), bookshelves(24), ambiance(22), books(22)","crowds(35), noise_level(11), crowdedness(9), noise(9), seating_availability(7), accessibility(6), book_accessibility(6), books(3), crowd_noise(3), environment(3)",4.4
18. Seoraksan National Park,"views(714), cable_car(344), accessibility(119), hiking(113), nature(95), park(88), weather(87), hiking_trails(85), trails(81), architecture(73)","crowds(105), weather(98), crowding(92), cable_car(46), views(23), traffic(19), safety(17), accessibility(14), hiking_difficulty(14), price(14)",4.7
19. Haedong Yonggungsa,"accessibility(1271), views(1162), architecture(782), atmosphere(205), sea_view(142), overall_experience(132), statues(132), price(98), photo_opportunities(87), weather(78)","crowds(371), accessibility(350), crowding(214), stairs(121), weather(84), steps(40), commercialization(38), atmosphere(37), architecture(32), walking_distance(31)",4.3
2. Myeongdong Shopping Street,"shopping(4278), street_food(2313), restaurants(1528), food(1412), cosmetics(1146), accessibility(1089), atmosphere(1064), shopping_experience(812), price(761), cafes(472)","crowding(1020), crowds(974), price(491), prices(257), shopping(247), crowdedness(219), shopping_experience(184), street_food(118), weather(101), noise(93)",4.3
20. Spirited Garden,"garden(336), bonsai_trees(82), atmosphere(81), bonsai(77), service(75), trees(61), food(58), views(57), owner(51), overall_experience(42)","price(11), accessibility(7), weather(7), crowding(4), crowds(3), garden_size(3), size(3), beauty(2), bonsai(2), bonsai_garden(2)",4.8
21. Namsan Park,"views(1639), accessibility(607), cable_car(483), park(323), namsan_park(169), seoul_tower(140), weather(116), nature(110), namsan_tower(108), love_locks(92)","crowding(166), crowds(158), cable_car(117), weather(106), stairs(64), accessibility(54), views(50), price(42), cable_car_queue(17), temperature(16)",4.3
22. Bongeunsa Temple,"accessibility(866), architecture(433), atmosphere(373), views(149), buddha_statue(129), peacefulness(115), price(90), lanterns(82), activities(64), buildings(63)","crowding(46), accessibility(42), noise(18), size(16), crowds(14), construction(11), weather(11), architecture(10), surroundings(10), activities(6)",4.4
23. Gwangalli Beach,"views(535), beach(370), restaurants(230), accessibility(144), cafes(131), bridge(128), atmosphere(125), bars(94), food(89), gwangalli_beach(72)","crowding(72), crowds(33), weather(26), beach(22), swimming(15), beach_size(14), water_temperature(14), size(12), water_quality(12), beach_cleanliness(11)",4.3
24. Bulguksa Temple,"architecture(408), accessibility(304), views(190), bulguksa_temple(148), atmosphere(115), historical_significance(68), temple_complex(67), buildings(65), grounds(58), overall_experience(58)","crowding(126), crowds(86), accessibility(61), price(40), weather(39), atmosphere(16), stairs(13), travel_time(13), architecture(12), seokgatap_pagoda(12)",4.4
25. Sea Life Coex Seoul Aquarium,"aquarium(255), accessibility(193), overall_experience(92), variety_of_fish(77), exhibits(64), size(64), aquarium_size(57), suitability_for_children(51), penguins(46), cleanliness(45)","price(120), crowding(83), size(42), crowds(38), aquarium_size(27), overall_experience(19), accessibility(18), animal_welfare(18), aquarium(17), space(17)",4.2
26. Myeongdong NANTA Theater,"show(165), activities(159), entertainment(90), accessibility(54), humor(35), language_accessibility(33), overall_experience(30), performers(29), audience_participation(28), music(28)","accessibility(15), crowding(10), ticket_availability(7), activities(6), audience_participation(6), humor(6), seating(6), theater_size(5), ticket_price(5), value_for_money(5)",4.6
27. National Folk Museum of Korea,"museum(300), accessibility(299), exhibits(253), price(112), admission_fee(79), history(74), architecture(67), displays(53), culture(48), admission(47)","crowding(15), crowds(15), exhibits(10), weather(8), accessibility(6), time(6), time_available(6), visit_duration(6), architecture(5), exhibitions(4)",4.3
28. Hwaseong Fortress,"views(391), accessibility(264), fortress(110), architecture(97), hwaseong_fortress(97), walking_experience(96), weather(76), price(70), atmosphere(48), historical_significance(48)","weather(56), accessibility(37), stairs(34), walking(18), walking_distance(14), walking_difficulty(13), climb(10), crowding(10), crowds(9), price(9)",4.4
29. BIFF Square,"shopping(358), street_food(273), accessibility(245), food_stalls(211), food(162), hotteok(147), atmosphere(136), restaurants(109), price(101), crowds(74)","crowds(136), crowding(128), price(30), crowdedness(19), weather(17), cleanliness(16), shopping(16), handprints(12), street_food(10), biff_square(8)",4.0
3. N Seoul Tower,"views(8294), accessibility(2058), cable_car(1301), food(644), love_locks(540), overall_experience(511), tower(460), romantic_atmosphere(415), restaurants(376), weather(359)","crowds(1242), crowding(821), weather(603), accessibility(557), price(532), views(482), cable_car(392), stairs(163), food(100), tower(98)",4.2
30. Korean Folk Village,"accessibility(127), performances(118), food(104), overall_experience(86), shows(74), activities(72), traditional_houses(65), views(53), atmosphere(52), amusement_park(51)","weather(54), accessibility(33), price(21), crowds(17), food(15), crowding(14), travel_time(13), admission_fee(11), shows(9), tour_duration(8)",4.4
31. Jeongbang Waterfall,"waterfall(406), views(249), accessibility(208), waterfalls(56), price(52), photo_opportunities(42), jeongbang_waterfall(40), uniqueness(29), sea(27), parking(24)","accessibility(75), safety(68), crowds(53), crowding(46), stairs(28), price(23), waterfall_size(22), waterfall(19), weather(18), rocks(17)",4.3
32. DMZ,"activities(260), tour_guide(193), overall_experience(130), dmz_tour(115), service(113), historical_significance(75), history(74), tour_experience(72), dora_observatory(65), tunnel(59)","price(50), weather(44), crowding(41), tour_duration(29), photography_restrictions(26), physical_difficulty(26), tunnel(25), booking_process(24), tour_availability(23), photo_restrictions(22)",4.4
33. Songdo Cable Car,"views(94), cable_car(35), park(13), cable_car_ride(11), crowds(11), weather(9), food(7), price(7), activities(6), accessibility(5)","price(14), crowds(6), accessibility(4), air_conditioning(3), cable_car_length(2), duration(2), views(2), weather(2), accessibility_of_restaurant_area(1), activities_at_the_other_side(1)",4.4
34. Daepo Haean Jusangjeolli Cliff,"views(308), accessibility(85), rock_formations(57), waves(41), cliffs(38), columnar_joints(35), weather(30), nature(29), sea(28), price(27)","crowds(59), crowding(40), weather(26), price(19), wind(18), size(13), views(10), accessibility(8), admission_fee(7), viewing_platform(7)",4.4
35. Jogyesa Temple,"accessibility(494), architecture(321), atmosphere(198), lanterns(97), buddha_statues(77), decorations(74), flowers(47), peacefulness(39), overall_experience(38), buddhist_temple(35)","crowding(32), size(25), temple_size(25), crowds(20), accessibility(15), photography_policy(14), atmosphere(11), architecture(7), visit_duration(7), surroundings(5)",4.4
36. Namsangol Hanok Village,"accessibility(341), price(171), traditional_houses(105), views(101), atmosphere(92), admission_fee(75), architecture(67), activities(64), traditional_korean_houses(55), photo_opportunities(53)","crowding(41), weather(25), authenticity(21), crowds(17), size(15), accessibility(12), activities(8), interest(6), opening_days(5), terrain(5)",4.2
37. Donggung Palace and Wolji Pond,"views(438), lighting(221), pond(111), accessibility(92), atmosphere(67), anapji_pond(61), photography(39), pavilions(35), photo_opportunities(33), price(32)","crowds(103), crowding(46), weather(31), parking(14), size(14), temperature(14), price(13), pond(11), lighting(8), overall_experience(7)",4.3
38. Ikseon-dong Hanok Street,"cafes(44), shopping(36), restaurants(32), atmosphere(24), accessibility(23), architecture(9), food(7), popularity(7), alleys(6), walking_experience(6)","crowds(20), prices(5), crowdedness(4), price(4), weather(3), crowds_on_weekends(2), restaurants(2), accessibility(1), advertisements(1), alley_width(1)",4.4
39. Jeonju Hanok Village,"food(152), restaurants(113), hanok_village(101), atmosphere(72), shopping(72), views(63), accessibility(60), street_food(55), hanbok_rental(53), bibimbap(50)","crowds(99), commercialization(64), crowding(58), authenticity(33), atmosphere(30), parking(24), restaurants(23), weather(22), price(21), shopping(21)",4.1
4. National Museum Of Korea,"museum(574), architecture(566), exhibits(523), accessibility(480), price(340), museum_size(300), admission_fee(242), history(216), collection(165), artifacts(150)","crowding(62), exhibits(59), accessibility(55), size(29), audio_guide(25), crowds(25), museum(21), artifacts(14), museum_size(14), time(14)",4.5
40. Seoul Metro,"cleanliness(3546), price(2699), convenience(2102), accessibility(1600), ease_of_use(1421), signage(1314), safety(1108), t_money_card(1096), metro(1018), speed(912)","crowding(690), stairs(506), escalators(320), crowdedness(215), signage(203), walking_distance(186), accessibility(174), language_barrier(157), traffic(157), traffic_congestion(147)",4.5
42. Gwanghwamun Gate,"accessibility(234), gate(104), views(103), gwanghwamun_gate(87), changing_of_the_guard_ceremony(79), architecture(69), gwanghwamun_square(66), changing_of_the_guard(61), gyeongbokgung_palace(58), statues(51)","crowds(30), traffic(26), crowding(14), accessibility(12), weather(10), price(7), traffic_volume(7), opening_hours(5), size(5), architecture(4)",4.2
43. Seoul Arts Center,"exhibitions(164), accessibility(131), performances(88), atmosphere(51), exhibition(49), architecture(48), facilities(48), activities(44), food(40), music_fountain(30)","accessibility(81), crowds(22), traffic(11), parking_fee(10), public_transportation(8), traffic_congestion(8), parking(7), ticket_price(7), price(6), taxi_availability(6)",4.4
44. Changgyeonggung Palace,"architecture(211), accessibility(146), atmosphere(67), views(64), price(54), history(47), crowds(44), beauty(40), crowding(40), garden(40)","crowding(24), size(20), architecture(18), crowds(17), buildings(15), palace_size(15), weather(13), accessibility(12), price(11), atmosphere(8)",4.4
45. Insadong Spa & Sauna,"service(42), massage(19), body_scrub(18), cleanliness(15), overall_experience(14), saunas(14), price(13), scrub(13), accessibility(11), owner(8)","overall_experience(4), cleanliness(3), facilities(3), course_explanation(2), cupping_therapy_availability(2), facility_condition(2), language_support(2), mugwort_steam_staff_attention(2), navigation(2), pickup_service(2)",4.5
47. Gyeongju National Museum,"museum(181), exhibits(152), artifacts(79), price(79), accessibility(70), admission_fee(53), history(35), educational_value(28), museum_size(24), buildings(23)","crowding(22), crowds(12), weather(11), exhibits(9), main_building(8), main_hall(8), noise(7), museum(6), museum_size(6), english_translations(5)",4.5
48. The War and Women's Human Rights Museum,"museum(15), educational_value(11), audio_guide(8), exhibits(8), emotional_impact(7), activities(4), historical_content(4), service(4), atmosphere(3), audioguide(3)","accessibility(5), location_accessibility(5), directions(2), language_barrier(2), museum_location(2), artistic_and_emotional_appeal_of_the_first_part_of_the_exhibit(1), audio_guide(1), audio_headphones(1), breasts(1), chest(1)",4.8
49. Woljeonggyo Bridge,"views(27), bridge(18), accessibility(13), architecture(10), atmosphere(5), woljeonggyo_bridge(5), historical_significance(4), lighting(4), bridge_lighting(3), bridge_reconstruction(3)","accessibility(3), crowds(2), lighting(2), architectural_harmony(1), bridge_condition(1), bridge_construction(1), bridge_design(1), bridge_reconstruction(1), construction(1), exhibition(1)",4.3
5. Insadong,"shopping(2436), souvenirs(1723), restaurants(1441), atmosphere(992), accessibility(976), food(862), souvenir_shops(514), cafes(508), price(461), street_food(374)","crowding(504), price(325), prices(181), crowds(180), shopping(164), souvenirs(143), touristy(91), souvenir_shops(89), commercialization(68), weather(59)",4.2
50. Aroma Thai Spa Gongdeok,"service(147), massage(143), cleanliness(41), massage_quality(40), price(38), staff_friendliness(27), thai_massage(27), accessibility(25), overall_experience(25), atmosphere(24)","price(6), massage_quality(2), accessibility(1), air_conditioning(1), ambiance(1), atmosphere(1), availability(1), body_soreness(1), booking_availability(1), booking_process(1)",4.9
51. Spa Gogyeol,"massage(68), service(65), facial(30), activities(22), therapist(14), atmosphere(11), relaxation(11), treatment(11), overall_experience(10), cleanliness(9)","booking_process(1), facial(1), facial_upgrade(1), price(1), spa_gogyeol(1), upselling(1)",5.0
53. Nami Island,"views(875), accessibility(367), nami_island(207), activities(186), overall_experience(179), food(174), nature(173), trees(161), photo_opportunities(158), restaurants(148)","crowds(247), weather(195), crowding(174), accessibility(69), price(47), views(44), travel_time(34), activities(33), photo_opportunities(28), crowdedness(21)",4.3
54. Lavish Spa,"massage(53), service(43), facial(14), cleanliness(13), atmosphere(11), accessibility(9), activities(8), massage_quality(8), relaxation(8), overall_experience(6)","price(2), accessibility(1), crowds(1), facilities(1), massage_places_in_myeongdong_area(1), post_massage_sitting_position(1), professionalism(1), size(1), spa(1)",4.9
55. Bugak Palgakjeong Pavilion,"views(22), accessibility(8), activities(3), drive(2), family_time(2), nature(2), parking(2), parking_lot(2), air(1), air_quality(1)","parking(2), traffic(2), accessibility(1), accessibility_without_a_car(1), climbing_difficulty(1), comfort(1), crickets(1), crowd_on_weekends(1), crowds(1), recommendation(1)",4.4
56. The Spa Grand Hyatt Seoul,"massage(17), service(11), sauna(8), therapist(7), accessibility(5), cleanliness(5), views(4), hotel(3), massage_quality(3), music(3)","price(4), crowding(2), language_barrier(2), spaciousness(2), accessibility(1), bath_tub(1), elevator_signage(1), film(1), head_instrument(1), hotel(1)",4.6
59. Theyounglong,"activities(20), teacher(8), class(7), explanation(7), activity(6), service(6), art(5), souvenir(5), history(4), history_explanation(3)",,5.0
6. The War Memorial of Korea,"museum(1117), exhibits(1083), accessibility(575), price(527), educational_value(447), memorial(352), displays(305), history(293), overall_experience(285), tanks(274)","opening_hours(40), crowding(38), accessibility(37), war(26), emotional_impact(25), atmosphere(22), crowds(22), exhibits(21), museum(21), propaganda(21)",4.6
7. Bukchon Hanok Village,"views(1009), accessibility(842), atmosphere(752), shopping(736), traditional_houses(684), architecture(539), cafes(539), walking_experience(435), traditional_korean_houses(343), restaurants(339)","crowds(331), crowding(282), accessibility(171), weather(139), noise_level(91), noise(80), hills(72), price(68), terrain(62), walking_difficulty(60)",4.2
8. Changdeokgung Palace,"architecture(1658), secret_garden(915), accessibility(693), guided_tour(431), views(373), history(325), garden(321), service(314), buildings(308), secret_garden_tour(297)","weather(200), crowding(179), crowds(112), secret_garden(100), size(91), accessibility(82), guided_tour(73), architecture(67), price(67), walking(57)",4.4
9. Cheonggyecheon Stream,"accessibility(1054), atmosphere(670), stream(578), views(559), lighting(504), walking_experience(446), relaxation(255), walk(242), cleanliness(240), ambiance(229)","crowding(167), weather(135), crowds(114), temperature(50), views(38), lighting(37), safety(34), activities(32), cleanliness(26), atmosphere(19)",4.3
